tick address bitflip_pos qt_err will_recode curr_ecc next_ecc block_pos data_write data_rec fixed
7764 2447 0 0 False 1 -1 1 36824 8fd8 True
7790 3692 0 0 False 1 -1 1 10917 2aa5 True
7816 3869 0 0 False 1 -1 1 32737 7fe1 True
7842 3831 0 0 False 1 -1 1 26446 674e True
7868 7969 0 0 False 1 -1 3 49115 bfdb True
7894 7445 0 0 False 1 -1 3 29371 72bb True
7920 6223 0 0 False 1 -1 3 1520 05f0 True
7946 4460 0 0 False 1 -1 2 24090 5e1a True
7972 2485 0 0 False 1 -1 1 12041 2f09 True
7998 1827 0 0 False 1 -1 0 24493 5fad True
8024 1315 0 0 False 1 -1 0 34803 87f3 True
8050 4436 0 0 False 1 -1 2 37014 9096 True
8076 478 0 0 False 1 -1 0 10778 2a1a True
8102 6239 0 0 False 1 -1 3 20155 4ebb True
8128 6290 0 0 False 1 -1 3 12826 321a True
8154 1376 0 0 False 1 -1 0 30602 778a True
8180 351 0 0 False 1 -1 0 33038 810e True
8206 291 0 0 False 1 -1 0 1132 046c True
8232 5565 0 0 False 1 -1 2 32068 7d44 True
8258 6318 0 0 False 1 -1 3 23068 5a1c True
8284 3444 0 0 False 1 -1 1 41368 a198 True
8310 2120 0 0 False 1 -1 1 1128 0468 True
8336 2095 0 0 False 1 -1 1 2744 0ab8 True
8362 5356 0 0 False 1 -1 2 44944 af90 True
8388 936 0 0 False 1 -1 0 33766 83e6 True
8414 6366 0 0 False 1 -1 3 50209 c421 True
8440 2871 0 0 False 1 -1 1 20986 51fa True
8466 3493 0 0 False 1 -1 1 51035 c75b True
8492 4893 0 0 False 1 -1 2 53742 d1ee True
8518 3518 0 0 False 1 -1 1 3699 0e73 True
8544 3950 0 0 False 1 -1 1 43620 aa64 True
8570 3980 0 0 False 1 -1 1 47613 b9fd True
8596 3858 0 0 False 1 -1 1 23400 5b68 True
8622 1292 0 0 False 1 -1 0 38071 94b7 True
8648 4498 0 0 False 1 -1 2 49621 c1d5 True
8674 2363 0 0 False 1 -1 1 13048 32f8 True
8700 5977 0 0 False 1 -1 2 38380 95ec True
8726 5934 0 0 False 1 -1 2 50261 c455 True
8752 6250 0 0 False 1 -1 3 48057 bbb9 True
8778 1322 0 0 False 1 -1 0 52211 cbf3 True
8804 2952 0 0 False 1 -1 1 25802 64ca True
8830 3185 0 0 False 1 -1 1 16258 3f82 True
8856 7402 0 0 False 1 -1 3 61934 f1ee True
8882 6962 0 0 False 1 -1 3 5076 13d4 True
8908 6700 0 0 False 1 -1 3 57425 e051 True
8934 4503 0 0 False 1 -1 2 54949 d6a5 True
8960 4001 0 0 False 1 -1 2 5436 153c True
8986 2006 0 0 False 1 -1 1 56680 dd68 True
9012 1390 0 0 False 1 -1 0 29443 7303 True
9038 7322 0 0 False 1 -1 3 46094 b40e True
9064 1562 0 0 False 1 -1 0 44960 afa0 True
9090 5735 0 0 False 1 -1 2 15031 3ab7 True
9116 3389 0 0 False 1 -1 1 12454 30a6 True
9142 5927 0 0 False 1 -1 2 46072 b3f8 True
9168 3942 0 0 False 1 -1 1 54856 d648 True
9194 6183 0 0 False 1 -1 3 60429 ec0d True
9220 6571 0 0 False 1 -1 3 37406 921e True
9246 5975 0 0 False 1 -1 2 44860 af3c True
9272 5747 0 0 False 1 -1 2 52169 cbc9 True
9298 1550 0 0 False 1 -1 0 5147 141b True
9324 5229 0 0 False 1 -1 2 44796 aefc True
9350 24 0 0 False 1 -1 0 39606 9ab6 True
9376 7522 0 0 False 1 -1 3 14911 3a3f True
9402 7137 0 0 False 1 -1 3 60689 ed11 True
9428 2582 0 0 False 1 -1 1 56409 dc59 True
9454 7259 0 0 False 1 -1 3 60243 eb53 True
9480 7704 0 0 False 1 -1 3 60645 ece5 True
9506 6554 0 0 False 1 -1 3 52561 cd51 True
9532 1987 0 0 False 1 -1 0 24607 601f True
9558 3795 0 0 False 1 -1 1 33291 820b True
9584 3455 0 0 False 1 -1 1 39539 9a73 True
9610 5957 0 0 False 1 -1 2 6073 17b9 True
9636 483 0 0 False 1 -1 0 7144 1be8 True
9662 2214 0 0 False 1 -1 1 16241 3f71 True
9688 5889 0 0 False 1 -1 2 45892 b344 True
9714 6198 0 0 False 1 -1 3 18766 494e True
9740 3016 0 0 False 1 -1 1 53591 d157 True
9766 2872 0 0 False 1 -1 1 50496 c540 True
9792 5228 0 0 False 1 -1 2 51938 cae2 True
9818 5742 0 0 False 1 -1 2 4687 124f True
9844 6178 0 0 False 1 -1 3 50442 c50a True
9870 5297 0 0 False 1 -1 2 7759 1e4f True
9896 7845 0 0 False 1 -1 3 40223 9d1f True
9922 1339 0 0 False 1 -1 0 39092 98b4 True
9948 3341 0 0 False 1 -1 1 15870 3dfe True
9974 3780 0 0 False 1 -1 1 4340 10f4 True
10000 640 0 0 False 1 -1 0 22453 57b5 True
10026 6289 0 0 False 1 -1 3 10114 2782 True
10052 3618 0 0 False 1 -1 1 46078 b3fe True
10078 7344 0 0 False 1 -1 3 2716 0a9c True
10104 273 0 0 False 1 -1 0 28677 7005 True
10130 3363 0 0 False 1 -1 1 36031 8cbf True
10156 2543 0 0 False 1 -1 1 48680 be28 True
10182 4727 0 0 False 1 -1 2 44655 ae6f True
10208 2392 0 0 False 1 -1 1 38810 979a True
10234 3804 0 0 False 1 -1 1 47456 b960 True
10260 2922 0 0 False 1 -1 1 4574 11de True
10286 5777 0 0 False 1 -1 2 65214 febe True
10312 5345 0 0 False 1 -1 2 22831 592f True
10338 841 0 0 False 1 -1 0 61742 f12e True
10364 5134 0 0 False 1 -1 2 24682 606a True
